ID,REF_DATE,GEO,DGUID,PRODUCT,STORAGE,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
21265d34-2f22-4e23-87a1-077499f0ea43,Feb-70,Maritime provinces,,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,151,,,,0
c61cc99a-acbe-4d78-8714-f6bcee288124,Feb-70,Maritime provinces,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,1520,,,,0
e486d4af-762c-4a15-a770-f8d28d3528e8,Feb-70,Maritime provinces,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722367,2.4.1,354,,,,0
d0371de2-428e-4f24-aa78-a1d9c28e96bd,Feb-70,Quebec,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722344,3.1.1,56,,,,0
2a1ceec4-c80b-4cb0-bf61-d5e213321f70,Feb-70,Quebec,,Onions,Cold and common storage,Tonnes,288,units ,0,v722352,3.2.1,1380,,,,0
66f95503-6eb3-4886-beb4-5236530e0eaf,Feb-70,Quebec,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722360,3.3.1,2642,,,,0
b92da21f-b183-45bf-bf01-ba2be319fccc,Feb-70,Quebec,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722368,3.4.1,275,,,,0
3a120881-6db8-450a-831b-5adeae738e40,Feb-70,Ontario,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722345,4.1.1,89,,,,0
24800952-85cf-4454-a569-ae704acf5b0e,Feb-70,Ontario,,Onions,Cold and common storage,Tonnes,288,units ,0,v722353,4.2.1,11619,,,,0
495dc72b-6e20-4dd9-b6a1-ec0dbad3587d,Feb-70,Ontario,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722361,4.3.1,15966,,,,0
4f3b0993-f9ea-4340-9b78-8d1d1239873f,Feb-70,Ontario,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722369,4.4.1,85,,,,0
9183c923-9b61-4647-919e-467dfeaa5e63,Feb-70,Manitoba,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,0,,,,0
bf8701e2-f100-4792-b4e6-dbe6fe9222c6,Feb-70,Manitoba,,Onions,Cold and common storage,Tonnes,288,units ,0,v722354,5.2.1,159,,,,0
27511796-f8b8-40cc-9335-254dc320bfd5,Feb-70,Manitoba,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722362,5.3.1,91,,,,0
b8dc43ba-6b50-4126-891e-f788953f30a2,Feb-70,Manitoba,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722370,5.4.1,64,,,,0
e50bd0f9-6f91-45d6-ae96-6fef3e1cc0eb,Feb-70,Saskatchewan,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722347,6.1.1,2,,,,0
fea282c0-2e9c-4acf-b6bb-ba56318c82bb,Feb-70,Saskatchewan,,Onions,Cold and common storage,Tonnes,288,units ,0,v722355,6.2.1,124,,,,0
836e8603-e78b-41bc-b840-aa655c2367e1,Feb-70,Saskatchewan,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722363,6.3.1,36,,,,0
fa238150-c4c3-482e-bf23-7e407af596c8,Feb-70,Saskatchewan,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722371,6.4.1,20,,,,0
02cc3dd0-5331-473c-b94d-e9cfbcce32ab,Feb-70,Alberta,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722348,7.1.1,72,,,,0
a7d16599-2c9a-4bf2-91ef-2ca00e63995c,Feb-70,Alberta,,Onions,Cold and common storage,Tonnes,288,units ,0,v722356,7.2.1,276,,,,0
909d4cab-0cc5-43df-b049-621f376c0f34,Feb-70,Alberta,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722364,7.3.1,502,,,,0
89f1d26f-5dd7-48c9-ae09-eb7513c356b4,Feb-70,Alberta,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722372,7.4.1,68,,,,0
2c6d2cb1-27cd-470a-a12a-961c0dfb081b,Feb-70,British Columbia,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722349,8.1.1,16,,,,0
cddc845c-f942-452c-ac70-3f18de843d21,Feb-70,British Columbia,,Onions,Cold and common storage,Tonnes,288,units ,0,v722357,8.2.1,528,,,,0
e83924c0-027d-465b-a2e0-246215cec53a,Feb-70,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,269,,,,0
99e879ba-3a18-46d8-accf-e7848897c70e,Feb-70,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,143,,,,0
f87dbafb-1b11-404b-ba24-c66005bde30d,Mar-70,Canada,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,680,,,,0
17fa1e3e-0a7d-4d9c-89e0-509d96f56b94,Mar-70,Canada,,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,9894,,,,0
f4d67fe3-7669-469f-ba78-b42c6dc4f7c1,Mar-70,Canada,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,14966,,,,0
9a6cbafd-f04a-41c1-93bb-6e97426f9b0d,Mar-70,Canada,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722366,1.4.1,645,,,,0
